text;aspek;sentimen
Senang sekali sama pelayanan hotelnya dan di manjakan sama viewnya..;kenyamanan;positif
View aja bagus, yg lain biasa Pelayanan lama,;kenyamanan;positif
Mantap hotel nya ini bener bener worth it nginep disini;umum;positif
Pelayanan OK, makanan enak, view bagus;kenyamanan;positif
Kondisi kamar cukup bersih. ;fasilitas;positif
Hotel Syariah, terletak di pusat kota Luwuk. Mudah akses ke tempat2 umum. ;transportasi;positif
fasilitas kamar mantap semua;fasilitas;positif
U/ keseluruhan baik dari Pelayanan, fasilitasnya mantap semua.. Dan terima kasih buat Swiss-Bell Luwuk atas Suprisenya u/ ultah anak sy.. Terbaik dah pkoknya..  ;kenyamanan;positif
Hal paling penting, keamanan dan kunci pintu kamar bagian dalamnya rusak. Dan tidak bisa diperbaiki hingga besok.;keamanan;negatif
Hotelnya bagus, pemandangan bagus. Lokasi di perbukitan Kota Luwuk sehingga dapat pemandangan laut/Teluk Luwuk. Sekitar hotel ini ada berbagai perkantoran Kabupaten Banggai, termasuk Kantor Bupati dan Polres Banggai. ;umum;positif
Hotel Estrella Hotel yang nyaman dan tenang di kota Luwuk Berdesign seperti Resort yang cukup lengkap fasilitasnya;kenyamanan;positif
Suasana hotel ya enak, cocok utk honeymoon;kenyamanan;positif
kamar bersih;fasilitas;positif
nyaman, servis ok;kenyamanan;positif
Tingkat ke amanan dan lahan parkiran kendaraan masih belum sesuai harapan,  tanpa pagar pengaman, juga lahan parkiran yang sempit;keamanan;negatif
Hotel yg cocok untuk santai bersama keluarga;kenyamanan;positif
Utk makanan dan menu sarapan b saja.;umum;negatif
Kamarnya cukup bersih;fasilitas;positif
Lokasinya cocok untuk yang suka keheningan, jauh dari kota. ;kenyamanan;positif
kamar mandi basah sewaktu masuk kamar, ;fasilitas;negatif
Pelayanan ngak bagus jauh dr standar hotel ,makan pagi jam 9 sdh hampir habis semua tdk ada staff kitchen, bubiur ketan hitam apek sptnya bahannya sdh tdk layak, kamar 208;umum;negatif
kamar lumayan besar dan bersih, ;fasilitas;positif
sarapannya juga enak dan variatif staffnya sangat gercep  ;umum;positif
Bagus sejuk air nya jernih ;umum;positif
Sangat rekomendasi dengan harga terjangkau;biaya;positif
Pertama kali ke Luwuk awalnya bingung mau menginap dimana, lalu dpt referensi dr temen ke Hotel Swiss-Bellinn Luwuk. ;umum;positif
harga juga masih terjangkau ;biaya;positif
layanan sangat baik, dengan view yg bagus ,apalagi ada kolam renangnya, makanannya juga enak;umum;positif
bersih, villanya wangiii, ;fasilitas;positif
best hotel in luwuk, semuanya keren, tempat tidur luas, kolam renang villa jg bersih, ada microwave dan peralatan makan lengkap;umum;positif
Lokasi cukup bagus karena terletak di ketinggian, bisa lihat view laut, cuma dipinggir kota,;umum;positif
View nya sangat bagus , ada kolam renangnya juga ,sarapannya juga enak ,kamar tidur nya juga sangat nyaman;positif;kenyamanan
untuk pelayannya sangat bagus dan fasilitas hotel jga bgus;umum;positif
viewnya sngat baguss;umum;positif
aesthetic bgt, nyaman juga keren deh bikin tenang kalo lagi healing apalagi ngajak temen seru bgt!!;kenyamanan;positif
"Mohon ditingkatkan kualitas pelayanannya ya. Tidak ada tlp dari Recep ,hk main bersihin kamar , padahal blm jam co masih jam 9/10 pagi, saya tanya hk di jawab udh harus nya di bersihin buat siap"" bakal ada ";umum;negatif
Bagus sekali, pemandangan saat breakfast di lantai 5 bagus sekali. Makanan breakfastnya enak dan banyak pilihan. Ada makanan tradisionalnya juga salanggar enak;umum;positif
kamaar bersih;fasilitas;positif
Hoteeel terbaik,, pelayanan paling baguus, dan nyaman skalii..  Semogaa rezeki lancar lagi jadi bisaa nginaaap;kenyamanan;positif
Hotel paling bagus dan recommended buat weekend dan kumpul dengan keluarga dan untuk pelayanan dan pemandangannya sangat bagus dan untuk makanannya sangat enak sekali;umum;positif
lobby yg bersih;fasilitas;positif
Pelayanan yang sangat ramah, dan banyak ikonik kota luwuk dan pemandangan pantai kilo 5 yang sangat indah dari depan lobby;umum;positif
terbaik kamar nya,luas dan nyaman  berikut pingin nginap d sini lagi bersama keluarga.;kenyamanan;positif
kamar yg bersih;fasilitas;positif
Pelayanan sangat baik dan karyawannya ramah. Hotel yg sangat recomended diKota Luwuk. View yg bagus,kamar yg bersih.;umum;positif
"Hotel yang sangaat baik, terbersih dan viu yang sangaat indah, Karyawan nya ramah"" ";fasilitas;positif
Makanan dan pelayananya sangat memuaskan  Terima kasih hotel santika luwuk;umum;positif
Pelayanan ramah dan menyenagkan menu sarapan paginya juga sangat enak;kenyamanan;positif
Hotel santika adalah hotel yang bagus dan karyawannya sangat ramah2 makanan enak..;umum;positif
Pengalaman berakhir pekan di hotel ini adalah yang terbaik dikota berair Luwuk;umum;positif
Salah satu hotel terbaik yang pernah saya lihat di Kota Luwuk;umum;positif
Tempatnya nyaman dan sarapan paginya enak enak, recommended;kenyamanan;positif
Cocok buat transit, lokasinya dekat dengan bandara;transportasi;positif
Orientasi dan Pembekalan caleg partai NasDem kab. Banggai;umum;positif
Saya memesan via tripadvisor dengan perbandingan harga yang lumayan banget, hehehe ;biaya;positif
pengalaman menginap disini, istimewa. Room nya super duper nyaman, View nya sangat bagus. Pelayanan sangat baik, stafnya ramah. Menu makanan yang dihidangkan ;umum;positif
Pelayanan istimewa. Viewnya keren banget apalagi sambil menikmati senja di lantai atas. Lokasinya juga sangat strategis, dekat dengan pusat kota. Pelayanan yang baik dari kakak-kakak staff yang ramah, sangat berkesan. ;kenyamanan;positif
Kemarin berkunjung ke hotel ini dilayani dengan bagus banget ramah dan profesional , view nya juga masya allah sekali , yang mau liburan coba in deh nginep di hotel ini;kenyamanan;positif
Bagus banget ada kolam renang nya juga hotelnya keren. Puas banget nginap disini pelayanannya juga bagus banget. Viewnya bagus banget cocok buat yang mau healing atau nginap bareng keluarga ;umum;positif
Kamar bersih,;fasilitas;positif
Hotel dengan pemandangan yg bagus, lokasi nyaman, tenang.  service sangat memuaskan. Terima kasih untuk seluruh manajemen dan staff, kalo berkunjung ke luwuk pasti akan nginap disini lagi.;kenyamanan;positif
Salah satu hotel dengan view yg bagus dan lokasi yg strategis.  Pelayanannya sangat memuaskan, stafx yg ramah dan sopan  ;umum;positif
Hotelnya bagus dan bersih terlihat, pemandangannya pun bagus banget,,,semoga kelak bisa kesana menikamati keindahan dan hospitality Swiss bell inn Luwuk;fasilitas;positif
Memang tepat banget kalo nginep di hotel Swiss belin ini, suasana nya tenang sejuk. Hotel nya bersih banget, kamar nyaman dengan View yang mempesona.;fasilitas;positif
Nyaman banget beristirahat disini, pelayanan nya juga bagus, tempat ny bersih, dan suasana nya sejuk, tenang rekomendasi untuk merefresh badan  ;umum;positif
"Pelayananannya memuaskan, untuk viewnya juga bagus banget. Fasilitas memadai, ada SPAnya juga staffnya juga ramah bangets &lt;3";umum;positif
Sangat memuaskan..... Pelayanan nya okee Begitupun hotelnya..... Ga rugi ngasih bintang 5;umum;positif
Kamarnya bersih, pelayanannya baik, tidak ada keluhan sama sekali. Mau banget balik lagi kesini;fasilitas;positif
Recommended nih, view yang oke punya, pelayanan ramah, fasilitas memadai. Hotel terbaik, dan terbaik ;umum;positif
Mantap berkualitas banget nih hotel, tempat nya bersih juga  pokonya top deh  ;fasilitas;positif
Bagus banget buat honeymoon, liburan keluarga, viewnya keren banget apa lagi kalau malam, the best pokoknya ;umum;positif
staycation yg sangat menyenangkan ..Happy bisa nginap di hotel Swiss bellin luwuk...next time boleh menginap lg;umum;positif
Dikasih tau temen tentang hotel ini katanya worth it, ternyata benar benar memuaskan;umum;positif
Tempat nya bagus, bersih dan nyaman. View nya bener-bener wahh bagus banget. Recommended deh ;kenyamanan;positif
Hotel yg sangat indah dengan pmandangan yg sangat memukau..pelayanan yg sangat baikk..untuk lokasi sangat sangat okee...trimakasih swiss belinn..;umum;positif
Suasananya tenang banget , kesan pertama datang kesini terlihat elegan banget hotel nya;umum;positif
Suasana ny yg sangat memukau, pokok nya bikin betah nginap disini;kenyamanan;positif
Kamarnya bersih staff nya juga ramah semua. Recommended pokoknya ni hotel ;fasilitas;positif
Hotelnya bagus banget, Secara keseluruhan dari Pelayanan, Kamar, dan Kenyamannya bener bener mantap;kenyamanan;positif
Fasilitas lengkap harga juga terjangkau,worth it lah kalo mau nginap disini;biaya;positif
Pemandangan nya aesthetic banget nih hotel kalau malam hari Benar benar memanjakan mata;umum;positif
Hotel berkelas banget keren fasilitas nya lengkap pelayanan juga sangat menyenangkan;umum;positif
Tadi datang kesini siang hari ,dilayani dengan baik banget dijelasin juga tentang detail hotel nya;umum;positif
Bagus hotel nya keren banget ada tempat bersantai nya di pinggir kolam;umum;positif
Lokasi sangat tepat.. terletak di pegunungan sehingga bisa melihat pemandangan kota luwuk yang sangat indah;umum;positif
Mantap puoll pokoknya  ada kolam renang nya, banyak tumbuhan juga segerr ;umum;positif
Kalo liburan ke luwuk wajib sih nginap nya disini, dijamin memuaskan banget;umum;positif
Recomended banget buat yang cari penginapan di sekitar Luwuk, hotel ini pilihan yg tepat;umum;positif
Untuk pelayanannya Good, Kamar bersih dan wangi , viewnya Good, makanannya enak;umum;positif
